DateTime,APU
2023-01-01 00:00:00,3.43
2023-01-01 03:00:00,3.78
2023-01-01 06:00:00,4.23
2023-01-01 09:00:00,4.6
2023-01-01 12:00:00,3.6
2023-01-01 15:00:00,3.89
2023-01-01 18:00:00,5.2
2023-01-01 21:00:00,5.1
2023-01-02 00:00:00,4.68
2023-01-02 03:00:00,5.67
2023-01-02 06:00:00,5.78
2023-01-02 09:00:00,7.54
2023-01-02 12:00:00,6.77
2023-01-02 15:00:00,4.56
2023-01-02 18:00:00,6.54
2023-01-02 21:00:00,5.54
2023-01-03 00:00:00,8.65
2023-01-03 03:00:00,6.54
2023-01-03 06:00:00,8.54
2023-01-03 09:00:00,9.34
2023-01-03 12:00:00,9.66
2023-01-03 15:00:00,5.33
2023-01-03 18:00:00,10.23
2023-01-03 21:00:00,7.54
2023-01-04 00:00:00,6.54
2023-01-04 3:00:00,6.54
2023-01-04 06:00:00,7.43
2023-01-04 9:00:00,9.75
2023-01-04 12:00:00,11.44
2023-01-04 15:00:00,11.89
2023-01-04 18:00:00,10.48
2023-01-04 21:00:00,10
2023-01-05 00:00:00,9.55
2023-01-05 3:00:00,6.43
2023-01-05 06:00:00,6.78
2023-01-05 9:00:00,6.34
2023-01-05 12:00:00,5.55
2023-01-05 15:00:00,7.43
2023-01-05 18:00:00,6.67
2023-01-05 21:00:00,8.54
2023-01-06 00:00:00,5.56
2023-01-06 3:00:00,6.43
2023-01-06 06:00:00,6.78
2023-01-06 9:00:00,7.44
2023-01-06 12:00:00,8.67
2023-01-06 15:00:00,9
2023-01-06 18:00:00,8.45
2023-01-06 21:00:00,7.34
2023-01-07 00:00:00,6.43
2023-01-07 3:00:00,6.78
2023-01-07 06:00:00,6.32
2023-01-07 9:00:00,8.45
2023-01-07 12:00:00,9.34
2023-01-07 15:00:00,6.43
2023-01-07 18:00:00,5.43
2023-01-07 21:00:00,4.89
2023-01-08 00:00:00,3.45
2023-01-08 3:00:00,3.45
2023-01-08 06:00:00,4.32
2023-01-08 9:00:00,3.33
2023-01-08 12:00:00,4.56
2023-01-08 15:00:00,5.43
2023-01-08 18:00:00,4.45
2023-01-08 21:00:00,5.89
2023-01-09 00:00:00,6.12
2023-01-09 3:00:00,6.34
2023-01-09 06:00:00,7.11
2023-01-09 9:00:00,7.34
2023-01-09 12:00:00,7.54
2023-01-09 15:00:00,7.89
2023-01-09 18:00:00,8.4
2023-01-09 21:00:00,5.45
2023-01-10 00:00:00,4.77
2023-01-10 3:00:00,4.32
2023-01-10 06:00:00,4.6
2023-01-10 9:00:00,3.6
2023-01-10 12:00:00,3.89
2023-01-10 15:00:00,5.2
2023-01-10 18:00:00,5.1
2023-01-10 21:00:00,4.68
2023-01-11 00:00:00,5.67
2023-01-11 3:00:00,5.78
2023-01-11 06:00:00,7.54
2023-01-11 9:00:00,6.77
2023-01-11 12:00:00,4.56
2023-01-11 15:00:00,6.54
2023-01-11 18:00:00,5.54
2023-01-11 21:00:00,8.65
2023-01-12 00:00:00,6.54
2023-01-12 3:00:00,7.43
2023-01-12 06:00:00,7.89
2023-01-12 9:00:00,7.21
2023-01-12 12:00:00,8.34
2023-01-12 15:00:00,7.34
2023-01-12 18:00:00,7.56
2023-01-12 21:00:00,6.01
2023-01-13 00:00:00,6.34
2023-01-13 3:00:00,6.45
2023-01-13 06:00:00,5.78
2023-01-13 9:00:00,5.23
2023-01-13 12:00:00,5.67
2023-01-13 15:00:00,4.34
2023-01-13 18:00:00,4.23
2023-01-13 21:00:00,4.6
2023-01-14 00:00:00,3.6
2023-01-14 3:00:00,3.89
2023-01-14 06:00:00,5.2
2023-01-14 9:00:00,5.1
2023-01-14 12:00:00,4.68
2023-01-14 15:00:00,5.67
2023-01-14 18:00:00,5.78
2023-01-14 21:00:00,7.54
2023-01-15 00:00:00,6.77
2023-01-15 3:00:00,4.56
2023-01-15 06:00:00,6.54
2023-01-15 9:00:00,5.54
2023-01-15 12:00:00,8.65
2023-01-15 15:00:00,6.54
2023-01-15 18:00:00,8.54
2023-01-15 21:00:00,5.43
2023-01-16 00:00:00,4.89
2023-01-16 3:00:00,3.45
2023-01-16 06:00:00,3.45
2023-01-16 9:00:00,4.32
2023-01-16 12:00:00,3.33
2023-01-16 15:00:00,4.56
2023-01-16 18:00:00,5.43
2023-01-16 21:00:00,4.45
2023-01-17 00:00:00,5.89
2023-01-17 3:00:00,6.12
2023-01-17 06:00:00,6.34
2023-01-17 9:00:00,7.11
2023-01-17 12:00:00,7.34
2023-01-17 15:00:00,7.54
2023-01-17 18:00:00,7.89
2023-01-17 21:00:00,8.4
2023-01-18 00:00:00,5.45
2023-01-18 3:00:00,4.77
2023-01-18 06:00:00,4.32
2023-01-18 9:00:00,4.6
2023-01-18 12:00:00,3.6
2023-01-18 15:00:00,3.89
2023-01-18 18:00:00,5.53
2023-01-18 21:00:00,5.89
2023-01-19 00:00:00,6.43
2023-01-19 3:00:00,6.45
2023-01-19 06:00:00,7.32
2023-01-19 9:00:00,7.39
2023-01-19 12:00:00,6.98
2023-01-19 15:00:00,6.77
2023-01-19 18:00:00,8.44
2023-01-19 21:00:00,9.23
2023-01-20 00:00:00,7.44
2023-01-20 3:00:00,4.56
2023-01-20 06:00:00,4.23
2023-01-20 9:00:00,3.67
2023-01-20 12:00:00,3.668
2023-01-20 15:00:00,4.78
2023-01-20 18:00:00,5.45
2023-01-20 21:00:00,6.34
2023-01-21 00:00:00,7.34
2023-01-21 3:00:00,8.32
2023-01-21 06:00:00,5.44
2023-01-21 9:00:00,5.67
2023-01-21 12:00:00,5.29
2023-01-21 15:00:00,6.29
2023-01-21 18:00:00,6.21
2023-01-21 21:00:00,6.87
2023-01-22 00:00:00,7.34
2023-01-22 3:00:00,5.54
2023-01-22 06:00:00,8.65
2023-01-22 9:00:00,6.54
2023-01-22 12:00:00,7.43
2023-01-22 15:00:00,7.89
2023-01-22 18:00:00,7.21
2023-01-22 21:00:00,8.34
2023-01-23 00:00:00,7.34
2023-01-23 3:00:00,7.56
2023-01-23 06:00:00,6.01
2023-01-23 9:00:00,6.34
2023-01-23 12:00:00,6.45
2023-01-23 15:00:00,5.78
2023-01-23 18:00:00,5.23
2023-01-23 21:00:00,5.67
2023-01-24 00:00:00,4.34
2023-01-24 3:00:00,4.23
2023-01-24 06:00:00,4.6
2023-01-24 9:00:00,3.6
2023-01-24 12:00:00,3.89
2023-01-24 15:00:00,5.2
2023-01-24 18:00:00,5.1
2023-01-24 21:00:00,4.68
2023-01-25 00:00:00,5.67
2023-01-25 3:00:00,5.78
2023-01-25 06:00:00,7.54
2023-01-25 9:00:00,6.77
2023-01-25 12:00:00,4.56
2023-01-25 15:00:00,6.54
2023-01-25 18:00:00,5.54
2023-01-25 21:00:00,8.65
2023-01-26 00:00:00,6.54
2023-01-26 3:00:00,8.54
2023-01-26 06:00:00,5.43
2023-01-26 9:00:00,6.12
2023-01-26 12:00:00,6.34
2023-01-26 15:00:00,7.11
2023-01-26 18:00:00,7.34
2023-01-26 21:00:00,7.54
2023-01-27 00:00:00,7.89
2023-01-27 3:00:00,8.4
2023-01-27 06:00:00,5.45
2023-01-27 9:00:00,4.77
2023-01-27 12:00:00,4.32
2023-01-27 15:00:00,4.6
2023-01-27 18:00:00,3.6
2023-01-27 21:00:00,3.89
2023-01-28 00:00:00,5.2
2023-01-28 3:00:00,5.1
2023-01-28 06:00:00,4.68
2023-01-28 9:00:00,5.67
2023-01-28 12:00:00,5.78
2023-01-28 15:00:00,7.54
2023-01-28 18:00:00,6.77
2023-01-28 21:00:00,4.56
2023-01-29 00:00:00,6.54
2023-01-29 3:00:00,5.54
2023-01-29 06:00:00,8.65
2023-01-29 9:00:00,6.54
2023-01-29 12:00:00,7.34
2023-01-29 15:00:00,8.32
2023-01-29 18:00:00,5.44
2023-01-29 21:00:00,5.67
2023-01-30 00:00:00,5.29
2023-01-30 3:00:00,6.29
2023-01-30 06:00:00,6.21
2023-01-30 9:00:00,6.87
2023-01-30 12:00:00,7.34
2023-01-30 15:00:00,5.54
2023-01-30 18:00:00,8.65
2023-01-30 21:00:00,6.54
2023-01-31 00:00:00,7.43
2023-01-31 3:00:00,7.89
2023-01-31 06:00:00,7.21
2023-01-31 9:00:00,8.34
2023-01-31 12:00:00,6.43
2023-01-31 15:00:00,5.34
2023-01-31 18:00:00,4.32
2023-01-31 21:00:00,4.77
